Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Mbengue, A.","57192085369","Faut-il brûler les tests de signification statistique ?",2010,"Management (France)",13,"2",,99,127,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84890862131&partnerID=40&md5=7c3a47ef284146c9a3551d66779cb635",Article,Final,"",Scopus,2-s2.0-84890862131
"Mazhar, U., Rehman, F.","55273539900; 56288338100","Diehard or delicate? Violence and young firm performance in a developing country",2019,"Business Economics",54,"4",,236,247,,,10.1057/s11369-019-00137-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85069839769&partnerID=40&md5=4f27da31ff276e29f3967c570b040a09",Article,Final,"",Scopus,2-s2.0-85069839769
"Mazhar, U., Jafri, J.","55273539900; 57196454357","Can the shadow economy undermine the effect of political stability on inflation? empirical evidence",2017,"Journal of Applied Economics",20,"2",,395,420,,3,10.1016/S1514-0326(17)30018-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85033381309&partnerID=40&md5=9ce4d433ce58fd403f57fd9e8b5114b3",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85033381309
"Mayo, D.G., Spanos, A.","7005967190; 8581721900","Error and inference: Recent exchanges on experimental reasoning, reliability, and the objectivity and rationality of science",2009,"Error and Inference: Recent Exchanges on Experimental Reasoning, Reliability, and the Objectivity and Rationality of Science",,"",,1,419,,21,10.1017/CBO9780511657528,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84927061243&partnerID=40&md5=cadee27e52092ff42c64f161e4e014d3",Book,Final,"",Scopus,2-s2.0-84927061243
"Mayo, D.G., Cox, D.","7005967190; 56424008100","New perspectives on (Some old) problems of frequentist statistics: Frequentist statistics as a theory of inductive inference",2009,"Error and Inference: Recent Exchanges on Experimental Reasoning, Reliability, and the Objectivity and Rationality of Science",,"",,1,29,,,10.1017/CBO9780511657528.009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84926968611&partnerID=40&md5=a386f0cc21b166b0380bf009b761afb6",Book Chapter,Final,"",Scopus,2-s2.0-84926968611
"Mayo, D.G., Spanos, A.","7005967190; 8581721900","Severe testing as a basic concept in a Neyman-Pearson philosophy of induction",2006,"British Journal for the Philosophy of Science",57,"2",,323,357,,126,10.1093/bjps/axl003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33745505741&partnerID=40&md5=6a4319d1c664f1eff9713e3da9bdb4d3",Article,Final,"",Scopus,2-s2.0-33745505741
"Mayo, D.G., Spanos, A.","7005967190; 8581721900","Methodology in practice: Statistical misspecification testing",2004,"Philosophy of Science",71,"5",,1007,1025,,53,10.1086/425064,"https://www.scopus.com/inward/record.url?eid=2-s2.0-19944418529&partnerID=40&md5=3a2c04b9204651fc842c9414088f65fe",Conference Paper,Final,"",Scopus,2-s2.0-19944418529
"Mayo, D.G.","7005967190","Experimental practice and an error statistical account of evidence",2000,"Philosophy of Science",67,"3 SUPPL.",,S193,S207,,24,10.1086/392819,"https://www.scopus.com/inward/record.url?eid=2-s2.0-4243893634&partnerID=40&md5=aee1d02fc298142903babd5f4ca40cae",Article,Final,"",Scopus,2-s2.0-4243893634
"Mayo, D.","7005967190","Some methodological issues in experimental economics",2008,"Philosophy of Science",75,"5",,633,645,,6,10.1086/594510,"https://www.scopus.com/inward/record.url?eid=2-s2.0-62749157542&partnerID=40&md5=768294c0961bf398119af0b3df8a0168",Conference Paper,Final,"",Scopus,2-s2.0-62749157542
"Maynard, A.","7102251259","The forward premium anomaly: Statistical artefact or economic puzzle? New evidence from robust tests",2006,"Canadian Journal of Economics",39,"4",,1244,1281,,14,10.1111/j.1540-5982.2006.00389.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33750465825&partnerID=40&md5=a157972bb595e8106e16ce926501ad14",Article,Final,"",Scopus,2-s2.0-33750465825
"Maydeu-Olivares, A., Shi, D., Fairchild, A.J.","6701542321; 57194439631; 8585388600","Estimating causal effects in linear regression models with observational data: The instrumental variables regression model",2020,"Psychological Methods",25,"2",,243,258,,13,10.1037/met0000226,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85068913828&partnerID=40&md5=6b1f66eec4d55192417f1fac9566287f",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85068913828
"Maurissen, J.P., Vidmar, T.J.","7003805846; 57213295834","Repeated-measure analyses: Which one? A survey of statistical models and recommendations for reporting",2017,"Neurotoxicology and Teratology",59,"",,78,84,,13,10.1016/j.ntt.2016.10.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85005939261&partnerID=40&md5=6aef24f4fbf382bff2d06b1a7ac50abe",Note,Final,"",Scopus,2-s2.0-85005939261
"Matzke, D., Boehm, U., Vandekerckhove, J.","35322757400; 55700422800; 23398987400","Bayesian inference for psychology, part III: Parameter estimation in nonstandard models",2018,"Psychonomic Bulletin and Review",25,"1",,77,101,,10,10.3758/s13423-017-1394-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85033559806&partnerID=40&md5=435340dd4b72bccce6dcc1cf5979c833",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85033559806
"Mattout, J., Phillips, C., Penny, W.D., Rugg, M.D., Friston, K.J.","6602268913; 7403135552; 7006713116; 7006879363; 36080215500","MEG source localization under multiple constraints: An extended Bayesian framework",2006,"NeuroImage",30,"3",,753,767,,151,10.1016/j.neuroimage.2005.10.037,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33645737307&partnerID=40&md5=1fe151a7890a4bbc7735ad459599acf6",Article,Final,"All Open Access, Green",Scopus,2-s2.0-33645737307
"Matthews, R.A.J.","57213646964","Beyond ‘significance’: Principles and practice of the analysis of credibility",2018,"Royal Society Open Science",5,"1", 171047,,,,22,10.1098/rsos.171047,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85040946992&partnerID=40&md5=f29662f12cbc13413d12589d279c16b4",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85040946992
"Matta, T.H., Flournoy, J.C., Byrne, M.L.","57196150494; 54885849900; 36629953700","Making an unknown unknown a known unknown: Missing data in longitudinal neuroimaging studies",2018,"Developmental Cognitive Neuroscience",33,"",,83,98,,15,10.1016/j.dcn.2017.10.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85033368867&partnerID=40&md5=cf84f7cc88b9630e17b9810e03b31045",Review,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85033368867
"Mathieu, J.E., Aguinis, H., Culpepper, S.A., Chen, G.","7102164806; 7006100196; 35095902600; 7406537802","Understanding and estimating the power to detect cross-level interaction effects in multilevel modeling",2012,"Journal of Applied Psychology",97,"5",,951,966,,260,10.1037/a0028380,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84871695255&partnerID=40&md5=c82faa804208e784d581361272b22771",Article,Final,"",Scopus,2-s2.0-84871695255
"Mathew, S., Sundararaj, S., Banerjee, I.","55520311900; 56982872700; 57209058740","Network analysis identifies crosstalk interactions governing TGF-β Signaling Dynamics during Endoderm Differentiation of Human Embryonic Stem Cells",2015,"Processes",3,"2",,286,308,,1,10.3390/pr3020286,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85054278189&partnerID=40&md5=801314e64498ec4addf7a7ba46abe61e",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85054278189
"Masuda, T., Shibutani, T., Igarashi, T., Kuriyama, M.","7403694459; 7005287790; 7403250369; 24363754100","Microboudin structure of piedmontite in quartz schists: a proposal for a new indicator of relative palaeodifferential stress",1989,"Tectonophysics",163,"1-2",,169,180,,24,10.1016/0040-1951(89)90124-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0024567986&partnerID=40&md5=4024dde78e8a05f6e21a1f5c1604e003",Article,Final,"",Scopus,2-s2.0-0024567986
"Mastromarco, C., Simar, L., Wilson, P.W.","12445128800; 7006679450; 55586996000","Nonparametric statistical analysis of production",2019,"The Palgrave Handbook of Economic Performance Analysis",,"",,301,382,,,10.1007/978-3-030-23727-1_10,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85086213278&partnerID=40&md5=e5474e1bac410d35ff44e1fae3d0da81",Book Chapter,Final,"",Scopus,2-s2.0-85086213278
"Masson, J.-B., Voisinne, G., Wong-Ng, J., Celani, A., Vergassola, M.","11141451800; 26030182300; 35436377400; 7004308299; 7003799857","Noninvasive inference of the molecular chemotactic response using bacterial trajectories",2012,"Proceedings of the National Academy of Sciences of the United States of America",109,"5",,1802,1807,,55,10.1073/pnas.1116772109,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84857131363&partnerID=40&md5=61cc42fd9e7f3e1e839ed593b5c652d6",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-84857131363
"Massmann, M., Mitchell, J., Weale, M.","15760445600; 47962337100; 7004615835","Business cycles and turning points: A survey of statistical techniques",2003,"National Institute Economic Review",183,"1",,90,106,,21,10.1177/0027950103183001465,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84992785667&partnerID=40&md5=de203a4ae1c022799c5931376b0eb3d9",Article,Final,"",Scopus,2-s2.0-84992785667
"Mason, P.R., Hasted, J.B., Moore, L.","57213495103; 23000633400; 23001748100","The use of statistical theory in fitting equations to dielectric dispersion data",1974,"Advances in Molecular Relaxation Processes",6,"3",,217,232,,54,10.1016/0001-8716(74)80003-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-49549154496&partnerID=40&md5=2bda40e37f5c64b3d60542940083acc8",Article,Final,"",Scopus,2-s2.0-49549154496
"Mashayekhi, S., Beerli, P.","54387268600; 6603532983","Fractional coalescent",2019,"Proceedings of the National Academy of Sciences of the United States of America",116,"13",,6244,6249,,5,10.1073/pnas.1810239116,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063943492&partnerID=40&md5=1f0d102f1e176b1285719bb56ac93f3a",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85063943492
"Maschio, C., Schiozer, D.J.","6701901312; 55907009500","Bayesian history matching using artificial neural network and Markov Chain Monte Carlo",2014,"Journal of Petroleum Science and Engineering",123,"",,62,71,,40,10.1016/j.petrol.2014.05.016,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84911031546&partnerID=40&md5=4ce38e8db17782cb2cf2f46fd46efa86",Article,Final,"",Scopus,2-s2.0-84911031546
"Maschio, C., Schiozer, D.J.","6701901312; 55907009500","A new procedure to reduce uncertainties in reservoir models using statistical inference and observed data",2013,"Journal of Petroleum Science and Engineering",110,"",,7,21,,13,10.1016/j.petrol.2013.08.034,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884376975&partnerID=40&md5=9b727be89ac15280b06c719ef73e6a0c",Article,Final,"",Scopus,2-s2.0-84884376975
"Marzocchi, W., Jordan, T.H.","7003726577; 25955758700","Experimental concepts for testing probabilistic earthquake forecasting and seismic hazard models",2018,"Geophysical Journal International",215,"2",,780,798,,5,10.1093/GJI/GGY276,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85055316579&partnerID=40&md5=41e6844ed72f371bfa0074ecb66a6ae6",Article,Final,"",Scopus,2-s2.0-85055316579
"Marzban, C., Du, X., Sandgathe, S., Doyle, J.D., Jin, Y., Lederer, N.C.","7004221698; 57202081375; 6508015378; 7403326970; 7404458295; 35386324800","Sensitivity analysis of the spatial structure of forecasts in mesoscale models: Continuous model parameters",2018,"Monthly Weather Review",146,"4",,967,983,,4,10.1175/MWR-D-17-0275.1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85047070699&partnerID=40&md5=d0388ba2b8786ffc8eb95ef259cbda64",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85047070699
"Martinsson, J., Törnman, W.","15729762200; 57212169167","Modelling the Dynamic Relationship Between Mining Induced Seismic Activity and Production Rates, Depth and Size: A Mine-Wide Hierarchical Model",2020,"Pure and Applied Geophysics",177,"6",,2619,2639,,,10.1007/s00024-019-02378-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85076109961&partnerID=40&md5=a80194f035a552eb0b22954d188afcf5",Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85076109961
"Martinsson, J.","15729762200","Robust bayesian hypocentre and uncertainty region estimation: The effect of heavy-tailed distributions and prior information in cases with poor, inconsistent and insufficient arrival times",2013,"Geophysical Journal International",192,"3",,1156,1178,,7,10.1093/gji/ggs067,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84876847171&partnerID=40&md5=9cf26193351b9e113d88c52100ffa044",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-84876847171
"Martinsek, A.T.","6602448097","Reliable inference for the maximum pit depth within pitting colonies on long pipelines",2003,"Corrosion",59,"12",,1058,1063,,4,10.5006/1.3277525,"https://www.scopus.com/inward/record.url?eid=2-s2.0-1842535827&partnerID=40&md5=c0f6cebb95281b7ec71b73abafa7ff3b",Article,Final,"",Scopus,2-s2.0-1842535827
"Martínez-Beneito, M.A., Bermúdez, J.D., Armero, C.","11939678300; 7102615521; 6603485758","Symptoms, signs and statistics: Statistics applied to the health and life sciences",2015,"Metode",,"5",,151,157,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84971654875&partnerID=40&md5=f6db81de75c9b0eacd896db9b0870e27",Article,Final,"",Scopus,2-s2.0-84971654875
"Martinez, A.S., Jani, A., Dabdub, D.","55212580900; 55962639400; 7003936713","Emission factor estimation in regional air quality studies of residential natural gas fuel interchangeability",2014,"Fuel",119,"",,129,140,,4,10.1016/j.fuel.2013.11.018,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84890198442&partnerID=40&md5=9b8d83451258b6adc3eaba5539741463",Article,Final,"",Scopus,2-s2.0-84890198442
"Martin de Blas, J., Iaffaldano, G.","57213602409; 12647622700","Using Rigid Microplate Motions to Detect the Stress Buildup Preceding Large Earthquakes: A Feasibility Test Based on Synthetic Models",2019,"Journal of Geophysical Research: Solid Earth",124,"12",,13468,13485,,,10.1029/2019JB018175,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85077859709&partnerID=40&md5=f77208668152440b0a8688b26775db62",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85077859709
"Martin, A.J.","7404932331","Prescriptive Statements and Educational Practice: What Can Structural Equation Modeling (SEM) Offer?",2011,"Educational Psychology Review",23,"2",,235,244,,27,10.1007/s10648-011-9160-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79958053926&partnerID=40&md5=3274a762afc91e90c19d719317d16d44",Article,Final,"",Scopus,2-s2.0-79958053926
"Martin, A.J., Umeda, K., Connor, C.B., Weller, J.N., Zhao, D., Takahashi, M.","57199495151; 23010372600; 7005787140; 7101770995; 7403489801; 55619318473","Modeling long-term volcanic hazards through Bayesian inference: An example from the Tohoku volcanic arc, Japan",2004,"Journal of Geophysical Research: Solid Earth",109,"10",,B10208 1,20,,69,10.1029/2004JB003201,"https://www.scopus.com/inward/record.url?eid=2-s2.0-11844264537&partnerID=40&md5=ef858cae1c1cd3a77d0f61d7b11ee058",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-11844264537
"Marti-Marimon, M., Vialaneix, N., Voillet, V., Yerle-Bouissou, M., Lahbib-Mansais, Y., Liaubet, L.","57189590789; 57202892647; 57216337984; 56259465300; 6603930038; 6508227770","A new approach of gene co-expression network inference reveals significant biological processes involved in porcine muscle development in late gestation",2018,"Scientific Reports",8,"1", 10150,,,,4,10.1038/s41598-018-28173-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049675781&partnerID=40&md5=4f5075cf56f9531b939d65c4e6c512e1",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85049675781
"Marszalek, J.M., Barber, C., Kohlhart, J., Holmes, C.B.","7004578023; 15831054800; 41961538600; 7202410601","Sample size in psychological research over the past 30 years",2011,"Perceptual and Motor Skills",112,"2",,331,348,,81,10.2466/03.11.PMS.112.2.331-348,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79959799592&partnerID=40&md5=9163a008e9d06b21cd6751d72973b3bf",Article,Final,"",Scopus,2-s2.0-79959799592
"Marruzzo, A., Tyagi, P., Antenucci, F., Pagnani, A., Leuzzi, L.","55584201200; 56707620000; 56078924200; 55853545500; 55886521200","Inverse problem for multi-body interaction of nonlinear waves",2017,"Scientific Reports",7,"1", 3463,,,,5,10.1038/s41598-017-03163-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85020496176&partnerID=40&md5=afa0244e8218058f1dc0a299a55a187f",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85020496176
"Marquez, J., Shack-Marquez, J., Wascher, W.L.","7102788932; 24308299400; 6603290283","Statistical inference, model selection and research experience. A multinomial model of data mining",1985,"Economics Letters",18,"1",,39,44,,4,10.1016/0165-1765(85)90075-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-46549104660&partnerID=40&md5=46f991e2bc7199076f1f7a9757c579eb",Article,Final,"",Scopus,2-s2.0-46549104660
"Marquand, A.F., Rezek, I., Buitelaar, J., Beckmann, C.F.","36914890300; 6602453566; 26640178500; 35406065300","Understanding Heterogeneity in Clinical Cohorts Using Normative Models: Beyond Case-Control Studies",2016,"Biological Psychiatry",80,"7",,552,561,,137,10.1016/j.biopsych.2015.12.023,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84975721554&partnerID=40&md5=54f8bb8ffbb8ea9c956114bdd432d0d9",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-84975721554
"Maroufpoor, S., Sanikhani, H., Kisi, O., Deo, R.C., Yaseen, Z.M.","57199409051; 54927038000; 6507051085; 8630380500; 56436206700","Long-term modelling of wind speeds using six different heuristic artificial intelligence approaches",2019,"International Journal of Climatology",39,"8",,3543,3557,,12,10.1002/joc.6037,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85062961483&partnerID=40&md5=992d312801cb4c614375d5f3457cc052",Article,Final,"",Scopus,2-s2.0-85062961483
"Marmol, F., Velasco, C.","7004648460; 56899987200","Consistent testing of cointegrating relationships",2004,"Econometrica",72,"6",,1809,1844,,24,10.1111/j.1468-0262.2004.00554.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-8344263883&partnerID=40&md5=4a8fbe2247b4b4ffd84e1955e69a53fd",Article,Final,"All Open Access, Green",Scopus,2-s2.0-8344263883
"Marmer, V., Shneyerov, A.","22985578900; 6505934747","Quantile-based nonparametric inference for first-price auctions",2012,"Journal of Econometrics",167,"2",,345,357,,20,10.1016/j.jeconom.2011.09.020,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84857195516&partnerID=40&md5=f434d5ae07c192a8d92890a7eed48cec",Conference Paper,Final,"All Open Access, Green",Scopus,2-s2.0-84857195516
"Markus, R., Donnan, G.A., Kazui, S., Read, S., Hirano, T., Scott, A.M., O'Keefe, G.J., Tochon-Danguy, H.J., Sachinidis, J.I., Reutens, D.C.","56354171500; 35375703700; 56634723100; 57210237779; 7404057545; 35429505900; 35593256600; 7004548107; 6602154724; 7006822554","Statistical parametric mapping of hypoxic tissue identified by [18F]fluoromisonidazole and positron emission tomography following acute ischemic stroke",2002,"NeuroImage",16,"2",,425,433,,33,10.1006/nimg.2002.1056,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0036331323&partnerID=40&md5=7532f414eac49dd120abfbac69c58b70",Article,Final,"",Scopus,2-s2.0-0036331323
"Markus, K.A., Hawes, S.W., Thasites, R.J.","7003485249; 24830096500; 24831176200","Abductive inferences to psychological variables: Steiger's question and best explanations of psychopathy",2008,"Journal of Clinical Psychology",64,"9",,1069,1088,,8,10.1002/jclp.20508,"https://www.scopus.com/inward/record.url?eid=2-s2.0-52049083458&partnerID=40&md5=0a34e07e236a0f1179b40f16458faf97",Article,Final,"",Scopus,2-s2.0-52049083458
"Markovits, H., de Chantal, P.-L., Brisson, J., Dubé, É., Thompson, V., Newman, I.","6701671135; 56003611700; 55802524200; 57204056959; 7103144392; 56659757000","Reasoning strategies predict use of very fast logical reasoning",2021,"Memory and Cognition",49,"3",,532,543,,3,10.3758/s13421-020-01108-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85092617942&partnerID=40&md5=c71d53afed11f8646c81091c61e1dbf3",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85092617942
"Markovits, H., Brisson, J., de Chantal, P.-L., Singmann, H.","6701671135; 55802524200; 56003611700; 46161708800","Multiple layers of information processing in deductive reasoning: combining dual strategy and dual-source approaches to reasoning",2018,"Journal of Cognitive Psychology",30,"4",,394,405,,7,10.1080/20445911.2018.1458729,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85044753562&partnerID=40&md5=164d4c815493b56912690e293ba586e8",Article,Final,"",Scopus,2-s2.0-85044753562
"Markovits, H., Brisson, J., de Chantal, P.-L., Thompson, V.A.","6701671135; 55802524200; 56003611700; 7103144392","Interactions between inferential strategies and belief bias",2017,"Memory and Cognition",45,"7",,1182,1192,,16,10.3758/s13421-017-0723-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85020750250&partnerID=40&md5=7ed2fcd8ce63757fae3252913e045db7",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85020750250
"Markovits, H., Brisson, J., de Chantal, P.-L.","6701671135; 55802524200; 56003611700","Additional evidence for a dual-strategy model of reasoning: Probabilistic reasoning is more invariant than reasoning about logical validity",2015,"Memory and Cognition",43,"8",,1208,1215,,13,10.3758/s13421-015-0535-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84945450386&partnerID=40&md5=c7a30edcbc8037aefcd5e903b9b85c6e",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-84945450386
"Markovits, H.","6701671135","Development and necessary norms of reasoning",2014,"Frontiers in Psychology",5,"MAY", 488,,,,5,10.3389/fpsyg.2014.00488,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84904574128&partnerID=40&md5=b5dd0bb38f9a4d631f81738dd0487bed",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84904574128
"Markovits, H., Forgues, H.L., Brunet, M.-L.","6701671135; 37050982500; 36503423400","More evidence for a dual-process model of conditional reasoning",2012,"Memory and Cognition",40,"5",,736,747,,24,10.3758/s13421-012-0186-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84863431593&partnerID=40&md5=208c16b4749f115ed90257f9ff007472",Article,Final,"",Scopus,2-s2.0-84863431593
"Markovits, H., Handley, S.","6701671135; 7005231654","Is inferential reasoning just probabilistic reasoning in disguise?",2005,"Memory and Cognition",33,"7",,1315,1323,,15,10.3758/BF03193231,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33645730127&partnerID=40&md5=9b4fbf0f561658cd42304840609940f7",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-33645730127
"Marković, D., Kiebel, S.J.","54926317600; 6701712645","Comparative analysis of behavioral models for adaptive learning in changing environments",2016,"Frontiers in Computational Neuroscience",10,"APR", 33,,,,5,10.3389/fncom.2016.00033,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84973334313&partnerID=40&md5=3b2095f3ae4ae0d903672944c0304349",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84973334313
"Markello, R.D., Misic, B.","57192009785; 36613136300","Comparing spatial null models for brain maps",2021,"NeuroImage",236,"", 118052,,,,6,10.1016/j.neuroimage.2021.118052,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104731591&partnerID=40&md5=7819a38ef12eef3a935db8f4f7b12341",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85104731591
"Marjoram, P., Molitor, J., Plagnol, V., Tavaré, S.","6603447586; 7003541838; 16402494600; 7003693973","Markov chain Monte Carlo without likelihoods",2003,"Proceedings of the National Academy of Sciences of the United States of America",100,"26",,15324,15328,,664,10.1073/pnas.0306899100,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0346734143&partnerID=40&md5=6e64d2011f008e492889d13ce4f94626",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-0346734143
"Maritz, J.S.","57196759355","On the validity of inferences drawn from the fitting of Poisson and negative binomial distributions to observed accident data",1950,"Psychological Bulletin",47,"5",,434,443,,16,10.1037/h0060487,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0347005015&partnerID=40&md5=24c0ab0f3a215c79d3cfe8eb0364d40d",Article,Final,"",Scopus,2-s2.0-0347005015
"Maris, E.","6603784499","Statistical testing in electrophysiological studies",2012,"Psychophysiology",49,"4",,549,565,,123,10.1111/j.1469-8986.2011.01320.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84858703625&partnerID=40&md5=ccc44141522f3e41ab34418290187ab1",Review,Final,"",Scopus,2-s2.0-84858703625
"Marino, S., Baxter, N.T., Huffnagle, G.B., Petrosino, J.F., Schloss, P.D.","8786377400; 55882204800; 7006045125; 6603064501; 35249214400","Mathematical modeling of primary succession of murine intestinal microbiota",2014,"Proceedings of the National Academy of Sciences of the United States of America",111,"1",,439,444,,107,10.1073/pnas.1311322111,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84891907251&partnerID=40&md5=4fd102137f1235c9afc59f6b61cf4243",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-84891907251
"Mariano, R.S., Xiao, Z., Yu, J.","6603969563; 7402447103; 7405530121","Recent advances in nonstationary time series: A festschrift in honor of Peter C.B. Phillips",2012,"Journal of Econometrics",169,"2",,139,141,,,10.1016/j.jeconom.2012.01.015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84863790366&partnerID=40&md5=ba2d4862437e65e774b6c73e5c55f1b1",Conference Paper,Final,"All Open Access, Green",Scopus,2-s2.0-84863790366
"Marian Scott, E.M.","6506774891","Models, data, statistics, and outliers-a statistical revolution in archaeology and 14C dating",2011,"Radiocarbon",53,"4",,559,562,,3,10.1017/s0033822200039035,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84255188751&partnerID=40&md5=2b38c1c10867e8994080a30e097bdb3b",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-84255188751
"Margolis, H.","7101693232","Logic, intuition, and Einstein",1998,"Psycoloquy",9,"",,,,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-4344590071&partnerID=40&md5=388654c8efb5d7fd3af577c9a5e56ff4",Review,Final,"",Scopus,2-s2.0-4344590071
"Marewski, J.N., Gaissmaier, W., Schooler, L.J., Goldstein, D.G., Gigerenzer, G.","24776512300; 22984957100; 8832795800; 57208724089; 24368890600","From recognition to decisions: Extending and testing recognition-based models for multialternative inference",2010,"Psychonomic Bulletin and Review",17,"3",,287,309,,72,10.3758/PBR.17.3.287,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77955489174&partnerID=40&md5=73e9aecea010e41c111ed454b9a497fd",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-77955489174
"Mareschal, D., Westermann, G.","7004069522; 7004866228","Mixing the Old with the New and the New with the Old: Combining Prior and Current Knowledge in Conceptual Change",2010,"Neoconstructivism: The New Science of Cognitive Development",,"",,,,,3,10.1093/acprof:oso/9780195331059.003.0011,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84920641246&partnerID=40&md5=eb78ff4432310514b82ccf89a9d751c6",Book Chapter,Final,"",Scopus,2-s2.0-84920641246
"Marcus, S.M., Stuart, E.A., Wang, P., Shadish, W.R., Steiner, P.M.","7202768781; 35410446500; 55865567275; 7004247160; 35241181100","Estimating the causal effect of randomization versus treatment preference in a doubly randomized preference trial",2012,"Psychological Methods",17,"2",,244,254,,32,10.1037/a0028031,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84866446035&partnerID=40&md5=2275bb8f2a109ce2496908c7c8b33895",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84866446035
